participant_id,comparison_id,prefers_w_word,preference_strength,word
7,not_698,-1,1,not
7,not_383,1,7,not
7,only_1577,1,7,only
7,control_00028,1,7,control
7,not_309,1,7,not
7,just_j_4012,1,7,just
7,only_1038,1,7,only
7,control_00000,1,7,control
7,not_768,-1,1,not
7,only_2232,-1,1,only
7,not_949,1,7,not
7,not_702,1,7,not
7,control_00027,1,7,control
7,not_244,1,7,not
7,only_2032,1,7,only
7,only_2118,1,7,only
7,control_00007,1,7,control
7,not_15,1,7,not
7,just_e_9268,-1,1,just
7,not_729,1,7,not
7,only_2038,1,7,only
7,just_j_7873,1,7,just
7,not_686,1,7,not
7,control_00002,1,7,control
7,not_1154,1,7,not
7,only_1446,1,7,only
7,only_1888,1,7,only
7,not_226,1,7,not
7,not_1697,1,7,not
7,just_j_8242,-1,1,just
7,just_j_5467,1,7,just
7,only_649,1,7,only
7,not_272,1,7,not
7,just_j_4722,-1,1,just
7,only_745,-1,1,only
7,just_j_2438,1,7,just
7,not_1647,1,7,not
7,not_367,1,7,not
7,control_00024,1,7,control
7,just_j_638,1,7,just
7,control_00001,1,7,control
7,not_5,1,7,not
7,control_00021,1,7,control
7,just_e_5138,-1,1,just
7,just_j_7769,1,7,just
7,only_794,1,7,only
7,just_j_1627,1,7,just
7,only_1602,1,7,only
7,just_j_12662,1,7,just
7,control_00004,1,7,control
7,control_00013,1,7,control
7,only_1891,1,7,only
7,control_00025,1,7,control
7,not_865,1,7,not
7,only_1538,-1,1,only
7,only_1817,1,7,only
7,only_2333,1,7,only
7,only_965,-1,1,only
7,just_j_8890,1,7,just
7,just_e_9687,1,7,just
7,not_302,1,7,not
7,control_00023,1,7,control
7,just_j_10613,1,7,just
7,control_00018,1,7,control
7,control_00011,1,7,control
7,only_1579,1,7,only
7,only_1624,1,7,only
7,only_315,-1,1,only
7,control_00022,1,7,control
7,control_00012,1,7,control
7,just_j_8011,1,7,just
7,only_1493,-1,1,only
7,control_00026,1,7,control
7,only_687,1,7,only
7,control_00029,1,7,control
7,not_1700,1,7,not
7,control_00009,1,7,control
7,control_00019,1,7,control
7,only_1142,1,7,only
7,control_00020,1,7,control
7,not_1686,1,7,not
8,only_1493,1,6,only
8,only_1817,1,6,only
8,control_00020,0,4,control
8,only_1579,1,5,only
8,control_00007,1,6,control
8,just_j_6768,1,6,just
8,not_698,1,5,not
8,only_491,1,5,only
8,not_319,1,6,not
8,control_00018,1,6,control
8,only_315,-1,2,only
8,just_j_8242,1,6,just
8,not_1602,1,5,not
8,not_244,1,6,not
8,only_1624,1,6,only
8,just_j_2164,-1,3,just
8,not_729,1,6,not
8,just_j_638,1,5,just
8,only_1038,1,6,only
8,not_949,1,5,not
8,only_501,1,6,only
8,only_1888,1,6,only
8,not_379,1,6,not
8,just_j_1461,1,5,just
8,only_965,1,5,only
8,only_2038,-1,2,only
8,only_1891,-1,2,only
8,only_2405,1,6,only
8,not_383,1,5,not
8,control_00019,1,5,control
8,not_702,-1,3,not
8,control_00000,1,6,control
8,control_00006,1,5,control
8,control_00016,1,6,control
8,control_00004,1,6,control
8,just_j_7769,1,5,just
8,just_j_7873,1,6,just
8,control_00003,1,5,control
8,just_e_2717,-1,3,just
8,control_00025,1,6,control
8,not_1686,1,6,not
8,just_j_1627,1,6,just
8,control_00028,1,5,control
8,control_00026,1,6,control
8,only_2232,1,6,only
8,just_j_8890,1,6,just
8,control_00009,1,5,control
8,just_e_1907,-1,2,just
8,not_7,1,5,not
8,not_15,1,6,not
8,only_1577,1,6,only
8,control_00012,1,6,control
8,just_e_5138,1,5,just
8,control_00015,1,6,control
8,not_5,1,6,not
8,not_1700,1,6,not
8,just_j_5467,1,6,just
8,only_1142,-1,3,only
8,not_686,1,6,not
8,not_226,1,6,not
8,only_649,-1,3,only
8,control_00023,1,6,control
8,just_e_1001,1,6,just
8,just_j_8011,1,6,just
8,control_00029,1,6,control
8,control_00008,1,6,control
8,only_2333,1,6,only
8,just_j_4722,-1,2,just
8,just_j_12662,1,6,just
8,only_660,1,6,only
8,control_00011,1,6,control
8,only_1368,1,6,only
8,not_302,1,6,not
8,not_1647,-1,2,not
8,control_00021,1,6,control
8,not_1570,1,6,not
8,control_00017,1,6,control
